Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,School
Emmanuel Henderson,ATH,Hartford,AL,6'1'',185.0,87,Alabama,,3,14,2,2022,Alabama,,,,
Ty Simpson,QB-DT,Martin,TN,6'2'',200.0,87,Alabama,,2,,,2022,Alabama,,,,
Shawn Murphy,ILB,Manassas,VA,6'2'',215.0,87,Alabama,,, None, None,2022,Alabama,,,,
Jaheim Oatis,DT,Columbia,MS,6'4'',350.0,87,Alabama,,4,,,2022,Alabama,,,,
Jihaad Campbell,OLB,Bradenton,FL,6'3'',215.0,87,Alabama,,41,20,,2022,Alabama,,,,
Khurtiss Perry,DT,Montgomery,AL,6'3'',265.0,86,Alabama,,6,,,2022,Alabama,,,,
Trequon Fegans,CB,Alabaster,AL,6'1'',185.0,85,Alabama,,9,34,4,2022,Alabama,,,,
Aaron Anderson,WR,New Orleans,LA,5'10'',180.0,85,Alabama,,8,36,6,2022,Alabama,,,,
Isaiah Bond,ATH,Buford,GA,6'0'',180.0,85,Alabama,,7,,,2022,Alabama,,,,
Kobe Prentice,ATH,Calera,AL,5'10'',175.0,84,Alabama,,8,,,2022,Alabama,,,,
Elijah Pritchett,OT,Columbus,GA,6'6'',280.0,84,Alabama,,12,43,8,2022,Alabama,,,,
Kendrick Law,ATH,Shreveport,LA,5'11'',185.0,83,Alabama,,12,51,8,2022,Alabama,,,,
